,datetime,year,month,day,temp,feelslike,humidity,windspeed,sunrisetime,sunsettime,daytimehour
304,2021-11-01,2021,11,1,41.5,36.3,54.8,15.1,7.38,17.73,10.35
305,2021-11-02,2021,11,2,39.7,34.5,52.6,11.5,7.4,17.72,10.32
306,2021-11-03,2021,11,3,37.2,33.4,56.7,7.8,7.42,17.68,10.26
307,2021-11-04,2021,11,4,38.8,36.6,57.3,9.9,7.45,17.67,10.22
308,2021-11-05,2021,11,5,42.4,39.1,55.9,12.6,7.47,17.65,10.18
309,2021-11-06,2021,11,6,47.6,45.3,54.7,14.7,7.48,17.63,10.15
310,2021-11-07,2021,11,7,53.4,52.1,59.2,16.8,6.5,16.62,10.12
311,2021-11-08,2021,11,8,55.8,55.3,60.1,13.4,6.52,16.6,10.08
312,2021-11-09,2021,11,9,52.8,52.4,73.7,13.4,6.55,16.58,10.03
313,2021-11-10,2021,11,10,50.5,50.1,71.1,13.5,6.57,16.57,10.0
314,2021-11-11,2021,11,11,51.0,48.5,69.1,19.4,6.58,16.55,9.97
315,2021-11-12,2021,11,12,38.6,30.5,72.1,20.4,6.6,16.53,9.93
316,2021-11-13,2021,11,13,37.8,30.1,70.0,15.7,6.63,16.52,9.89
317,2021-11-14,2021,11,14,36.0,26.9,74.4,22.5,6.65,16.5,9.85
318,2021-11-15,2021,11,15,33.4,28.7,65.4,10.8,6.67,16.48,9.81
319,2021-11-16,2021,11,16,42.1,38.7,70.1,15.7,6.68,16.47,9.79
320,2021-11-17,2021,11,17,54.2,52.2,74.0,15.6,6.72,16.45,9.73
321,2021-11-18,2021,11,18,34.7,24.8,52.1,22.1,6.73,16.43,9.7
322,2021-11-19,2021,11,19,34.2,27.8,52.5,13.9,6.75,16.43,9.68
323,2021-11-20,2021,11,20,42.1,37.0,54.7,14.2,6.77,16.42,9.65
324,2021-11-21,2021,11,21,42.6,38.9,56.3,26.8,6.78,16.4,9.62
325,2021-11-22,2021,11,22,30.2,21.7,39.2,16.1,6.8,16.4,9.6
326,2021-11-23,2021,11,23,34.1,28.4,43.4,17.8,6.83,16.38,9.55
327,2021-11-24,2021,11,24,45.6,41.0,54.3,20.1,6.85,16.38,9.53
328,2021-11-25,2021,11,25,39.3,31.6,71.7,19.1,6.87,16.37,9.5
329,2021-11-26,2021,11,26,25.4,17.6,48.5,19.9,6.88,16.37,9.49
330,2021-11-27,2021,11,27,35.7,28.7,61.0,14.8,6.9,16.35,9.45
331,2021-11-28,2021,11,28,33.4,26.5,50.8,19.6,6.92,16.35,9.43
332,2021-11-29,2021,11,29,34.8,28.4,48.4,16.5,6.93,16.33,9.4
333,2021-11-30,2021,11,30,42.0,38.1,50.6,13.7,6.97,16.33,9.36
334,2021-12-01,2021,12,1,43.2,39.2,71.1,13.6,6.98,16.33,9.35
335,2021-12-02,2021,12,2,51.0,50.4,47.6,17.3,7.0,16.32,9.32
336,2021-12-03,2021,12,3,45.1,41.5,64.5,11.1,7.02,16.32,9.3
337,2021-12-04,2021,12,4,37.9,32.8,50.7,13.4,7.03,16.32,9.29
338,2021-12-05,2021,12,5,38.5,32.3,64.3,21.0,7.05,16.32,9.27
339,2021-12-06,2021,12,6,30.0,18.1,51.5,25.4,7.07,16.32,9.25
340,2021-12-07,2021,12,7,19.2,10.1,43.0,13.0,7.07,16.32,9.25
341,2021-12-08,2021,12,8,29.4,22.5,57.5,12.7,7.08,16.32,9.24
342,2021-12-09,2021,12,9,38.1,32.1,60.9,15.0,7.1,16.32,9.22
343,2021-12-10,2021,12,10,43.9,41.1,78.0,20.6,7.12,16.32,9.2
344,2021-12-11,2021,12,11,42.1,35.0,66.3,33.9,7.13,16.32,9.19
345,2021-12-12,2021,12,12,40.1,32.9,52.3,19.1,7.15,16.32,9.17
346,2021-12-13,2021,12,13,41.5,36.9,59.0,13.7,7.17,16.32,9.15
347,2021-12-14,2021,12,14,44.9,43.5,67.4,15.9,7.17,16.33,9.16
348,2021-12-15,2021,12,15,60.3,60.3,78.4,35.9,7.18,16.33,9.15
349,2021-12-16,2021,12,16,46.7,40.0,57.3,29.2,7.2,16.33,9.13
350,2021-12-17,2021,12,17,35.1,29.0,61.1,13.6,7.2,16.33,9.13
351,2021-12-18,2021,12,18,37.4,30.1,71.8,14.6,7.22,16.35,9.13
352,2021-12-19,2021,12,19,34.0,27.7,63.7,12.0,7.23,16.35,9.12
353,2021-12-20,2021,12,20,35.8,28.5,68.5,16.5,7.23,16.37,9.14
354,2021-12-21,2021,12,21,33.9,26.8,63.6,19.9,7.25,16.37,9.12
355,2021-12-22,2021,12,22,26.6,18.0,50.3,14.5,7.25,16.38,9.13
356,2021-12-23,2021,12,23,37.9,32.0,66.0,14.2,7.27,16.38,9.11
357,2021-12-24,2021,12,24,48.4,46.6,82.9,14.6,7.27,16.4,9.13
358,2021-12-25,2021,12,25,45.4,42.1,70.9,15.2,7.27,16.4,9.13
359,2021-12-26,2021,12,26,36.8,32.4,73.8,19.8,7.28,16.42,9.14
360,2021-12-27,2021,12,27,40.5,34.5,81.8,20.6,7.28,16.43,9.15
361,2021-12-28,2021,12,28,35.4,29.9,77.9,14.3,7.28,16.45,9.17
362,2021-12-29,2021,12,29,35.5,29.2,69.3,13.1,7.28,16.45,9.17
363,2021-12-30,2021,12,30,35.4,30.7,76.8,9.8,7.3,16.47,9.17
364,2021-12-31,2021,12,31,39.7,34.8,79.2,13.0,7.3,16.48,9.18
365,2022-01-01,2022,1,1,34.8,24.3,81.7,22.7,7.3,16.5,9.2
366,2022-01-02,2022,1,2,23.5,13.0,73.1,19.0,7.3,16.52,9.22
367,2022-01-03,2022,1,3,17.2,6.9,61.3,12.9,7.3,16.53,9.23
368,2022-01-04,2022,1,4,29.8,19.8,65.3,19.4,7.3,16.53,9.23
369,2022-01-05,2022,1,5,19.7,3.7,66.4,26.2,7.3,16.55,9.25
370,2022-01-06,2022,1,6,11.2,-3.8,66.7,14.9,7.3,16.57,9.27
371,2022-01-07,2022,1,7,8.0,-4.5,63.2,12.0,7.3,16.58,9.28
372,2022-01-08,2022,1,8,24.3,13.3,69.3,17.3,7.3,16.6,9.3
373,2022-01-09,2022,1,9,24.8,13.6,61.7,19.1,7.28,16.62,9.34
374,2022-01-10,2022,1,10,13.9,1.9,46.9,15.0,7.28,16.65,9.37
375,2022-01-11,2022,1,11,21.2,11.2,53.2,22.0,7.28,16.67,9.39
376,2022-01-12,2022,1,12,37.2,32.3,68.3,13.4,7.27,16.68,9.41
377,2022-01-13,2022,1,13,37.0,33.6,77.0,11.4,7.27,16.7,9.43
378,2022-01-14,2022,1,14,32.9,22.8,74.9,18.2,7.27,16.72,9.45
379,2022-01-15,2022,1,15,24.2,12.9,69.5,18.5,7.25,16.73,9.48
380,2022-01-16,2022,1,16,22.4,16.8,63.1,13.4,7.25,16.75,9.5
381,2022-01-17,2022,1,17,27.1,17.0,68.7,16.8,7.23,16.78,9.55
382,2022-01-18,2022,1,18,33.6,25.5,69.5,21.2,7.23,16.8,9.57
383,2022-01-19,2022,1,19,25.0,12.8,59.4,17.5,7.22,16.82,9.6
384,2022-01-20,2022,1,20,13.7,0.9,51.9,15.0,7.22,16.83,9.61
385,2022-01-21,2022,1,21,18.3,10.6,57.7,11.0,7.2,16.85,9.65
386,2022-01-22,2022,1,22,25.2,13.2,57.0,18.4,7.18,16.88,9.7
387,2022-01-23,2022,1,23,18.2,7.6,67.6,19.1,7.17,16.9,9.73
388,2022-01-24,2022,1,24,19.6,8.5,69.7,17.4,7.17,16.92,9.75
389,2022-01-25,2022,1,25,8.8,-5.3,55.1,14.1,7.15,16.93,9.78
390,2022-01-26,2022,1,26,4.4,-9.0,55.3,13.7,7.13,16.97,9.84
391,2022-01-27,2022,1,27,26.3,16.0,58.0,17.9,7.12,16.98,9.86
392,2022-01-28,2022,1,28,20.7,10.4,67.6,14.3,7.1,17.0,9.9
393,2022-01-29,2022,1,29,16.8,6.9,56.5,10.0,7.08,17.02,9.94
394,2022-01-30,2022,1,30,23.9,17.3,64.5,10.0,7.08,17.05,9.97
395,2022-01-31,2022,1,31,31.0,24.8,60.9,15.0,7.07,17.07,10.0
396,2022-02-01,2022,2,1,39.4,32.6,67.5,15.9,7.05,17.08,10.03
397,2022-02-02,2022,2,2,23.5,10.8,75.5,19.5,7.02,17.12,10.1
398,2022-02-03,2022,2,3,22.8,8.8,66.9,22.4,7.0,17.13,10.13
399,2022-02-04,2022,2,4,19.4,8.8,66.1,16.0,6.98,17.15,10.17
400,2022-02-05,2022,2,5,13.6,1.1,61.8,17.8,6.97,17.17,10.2
401,2022-02-06,2022,2,6,26.2,15.4,63.6,15.9,6.95,17.2,10.25
402,2022-02-07,2022,2,7,23.8,13.9,67.8,14.8,6.93,17.22,10.29
403,2022-02-08,2022,2,8,29.0,20.3,64.8,14.0,6.92,17.23,10.31
404,2022-02-09,2022,2,9,37.2,29.3,71.0,18.4,6.88,17.27,10.39
405,2022-02-10,2022,2,10,30.8,21.0,68.3,16.0,6.87,17.28,10.41
406,2022-02-11,2022,2,11,37.5,28.3,75.0,21.9,6.85,17.3,10.45
407,2022-02-12,2022,2,12,19.5,7.6,53.5,18.4,6.83,17.32,10.49
408,2022-02-13,2022,2,13,16.0,5.5,53.7,11.1,6.8,17.35,10.55
409,2022-02-14,2022,2,14,20.6,11.9,55.6,9.1,6.78,17.37,10.59
410,2022-02-15,2022,2,15,32.0,24.3,57.1,15.4,6.77,17.38,10.61
411,2022-02-16,2022,2,16,49.8,46.3,66.0,23.6,6.73,17.42,10.69
412,2022-02-17,2022,2,17,28.9,16.4,75.9,22.9,6.72,17.43,10.71
413,2022-02-18,2022,2,18,19.8,7.2,59.3,24.3,6.68,17.45,10.77
414,2022-02-19,2022,2,19,17.5,3.7,51.0,26.4,6.67,17.47,10.8
415,2022-02-20,2022,2,20,36.5,27.0,58.1,26.6,6.65,17.5,10.85
416,2022-02-21,2022,2,21,41.9,38.1,74.8,12.0,6.62,17.52,10.9
417,2022-02-22,2022,2,22,36.7,29.3,86.4,18.8,6.6,17.53,10.93
418,2022-02-23,2022,2,23,22.0,10.4,62.3,16.2,6.57,17.55,10.98
419,2022-02-24,2022,2,24,26.6,16.1,71.2,17.1,6.55,17.57,11.02
420,2022-02-25,2022,2,25,26.1,18.3,70.5,11.6,6.52,17.6,11.08
421,2022-02-26,2022,2,26,24.5,14.8,65.2,15.2,6.5,17.62,11.12
422,2022-02-27,2022,2,27,35.1,28.6,54.9,16.2,6.47,17.63,11.16
423,2022-02-28,2022,2,28,41.2,37.7,57.0,20.8,6.43,17.65,11.22
